"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"9683","YEAH @CarlyFiorina  -- starting to kick butt, girl!!!! Keep on! #carlyfiorina #girlpower #president2016 #Carly2016",FALSE,0,NA,2015-09-20 14:21:32,FALSE,NA,"645603704503169024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JennBFoxNewsDC",0,FALSE,FALSE,NA,NA
"9684","I saw most of debate through a stream of tears but felt @CarlyFiorina won liked @realDonaldTrump that gave Jeb five felt @RealBenCarson flat",FALSE,8,NA,2015-09-20 14:21:24,FALSE,NA,"645603671988944897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cvpayne",3,FALSE,FALSE,NA,NA
"9685","@GovChristie tells @jaketapper is is a doer and @CarlyFiorina is a talker #CNNSOTU",FALSE,0,"GovChristie",2015-09-20 14:21:21,FALSE,NA,"645603656415510529","90484508","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","OutfrontView",0,FALSE,FALSE,NA,NA
"9686",".@ianbremmer its that 'selling technology to Iran' bump thats helping @CarlyFiorina",FALSE,2,"ianbremmer",2015-09-20 14:21:20,FALSE,"645603032873496576","645603655018762240","60783724","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrIanInc",0,FALSE,FALSE,NA,NA
"9687","@FoxNewsSunday @FoxNews @CarlyFiorina She is so good . There is only one liar in the election process and everyone knows it's Hillary .",FALSE,0,"FoxNewsSunday",2015-09-20 14:21:20,FALSE,"645586613398044672","645603654079246336","18805644","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wvv3491",0,FALSE,FALSE,NA,NA
"9688","RT @Stonewall_77: Geez! @CarlyFiorina surged all the way from high of 6.3% pre-debate to 6.3% post-debate! Wow! Remarkable! Superwoman! @Fo…",FALSE,0,NA,2015-09-20 14:21:19,FALSE,NA,"645603650400821248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JerreMorganti4",64,TRUE,FALSE,NA,NA
"9689","RT @newsbusters: .@CarlyFiorina Calls Out ‘Mainstream Media’ for Defending Planned Parenthood http://t.co/WjhRbOHRHI",FALSE,0,NA,2015-09-20 14:21:19,FALSE,NA,"645603648303726592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VanHJab",10,TRUE,FALSE,NA,NA
"9690","RT @Stonewall_77: Geez! @CarlyFiorina surged all the way from high of 6.3% pre-debate to 6.3% post-debate! Wow! Remarkable! Superwoman! @Fo…",FALSE,0,NA,2015-09-20 14:21:14,FALSE,NA,"645603627277533188",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Miller89918204",64,TRUE,FALSE,NA,NA
"9691","@CNN Poll puts @CarlyFiorina in second place behind @realDonaldTrump. Details #LiveOnK2 7-9am",FALSE,0,"CNN",2015-09-20 14:21:10,FALSE,NA,"645603611028901888","759251","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MattKATU",0,FALSE,FALSE,NA,NA
"9692","@FoxNews @CarlyFiorina Chris Wallace pulled up lots of material which will end her run. Things she denies or did not know happened.",FALSE,0,"FoxNews",2015-09-20 14:21:03,FALSE,NA,"645603583166148608","1367531","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guywiththething",0,FALSE,FALSE,NA,NA
